route_id,period,frequency,buses_assigned
145,early_morning,1,3
145,AM_peak,3,9
145,midday,1,3
145,PM_peak,3,9
145,evening,1,3
146,early_morning,2,3
146,AM_peak,2,3
146,midday,2,3
146,PM_peak,2,3
146,evening,2,3
147A,early_morning,1,3
147A,AM_peak,1,3
147A,midday,1,3
147A,PM_peak,1,3
147A,evening,1,3
147,early_morning,1,5
147,AM_peak,3,14
147,midday,1,5
147,PM_peak,3,14
147,evening,1,5
148A,early_morning,1,5
148A,AM_peak,1,5
148A,midday,1,5
148A,PM_peak,1,5
148A,evening,1,5
148,early_morning,1,3
148,AM_peak,1,3
148,midday,1,3
148,PM_peak,1,3
148,evening,1,3
149A,early_morning,1,6
149A,AM_peak,1,6
149A,midday,1,6
149A,PM_peak,1,6
149A,evening,1,6
149,early_morning,1,5
149,AM_peak,1,5
149,midday,1,5
149,PM_peak,1,5
149,evening,1,5
14,early_morning,1,4
14,AM_peak,1,4
14,midday,1,4
14,PM_peak,1,4
14,evening,1,4
151,early_morning,1,3
151,AM_peak,3,9
151,midday,1,3
151,PM_peak,3,9
151,evening,1,3
152A,early_morning,2,4
152A,AM_peak,1,2
152A,midday,2,4
152A,PM_peak,1,2
152A,evening,2,4
152D,early_morning,2,3
152D,AM_peak,2,3
152D,midday,2,3
152D,PM_peak,2,3
152D,evening,2,3
154,early_morning,2,3
154,AM_peak,3,4
154,midday,2,3
154,PM_peak,3,4
154,evening,2,3
155,early_morning,2,4
155,AM_peak,3,6
155,midday,2,4
155,PM_peak,3,6
155,evening,2,4
158A,early_morning,1,2
158A,AM_peak,1,2
158A,midday,1,2
158A,PM_peak,1,2
158A,evening,2,4
158,early_morning,2,4
158,AM_peak,1,2
158,midday,2,4
158,PM_peak,1,2
158,evening,2,4
159,early_morning,1,5
159,AM_peak,1,5
159,midday,1,5
159,PM_peak,1,5
159,evening,1,5
159K,early_morning,1,4
159K,AM_peak,1,4
159K,midday,1,4
159K,PM_peak,1,4
159K,evening,1,4
159P,early_morning,1,5
159P,AM_peak,1,5
159P,midday,1,5
159P,PM_peak,1,5
159P,evening,1,5
160,early_morning,2,3
160,AM_peak,2,3
160,midday,2,3
160,PM_peak,2,3
160,evening,2,3
161,early_morning,2,6
161,AM_peak,3,9
161,midday,2,6
161,PM_peak,3,9
161,evening,2,6
162,early_morning,1,6
162,AM_peak,3,16
162,midday,1,6
162,PM_peak,3,16
162,evening,1,6
163,early_morning,2,3
163,AM_peak,2,3
163,midday,2,3
163,PM_peak,2,3
163,evening,2,3
164,early_morning,2,4
164,AM_peak,3,6
164,midday,2,4
164,PM_peak,3,6
164,evening,2,4
165,early_morning,2,3
165,AM_peak,2,3
165,midday,2,3
165,PM_peak,2,3
165,evening,2,3
166,early_morning,2,3
166,AM_peak,3,4
166,midday,2,3
166,PM_peak,3,4
166,evening,2,3
167,early_morning,2,4
167,AM_peak,1,2
167,midday,2,4
167,PM_peak,1,2
167,evening,2,4
168,early_morning,2,3
168,AM_peak,2,3
168,midday,2,3
168,PM_peak,2,3
168,evening,2,3
169,early_morning,2,3
169,AM_peak,2,3
169,midday,2,3
169,PM_peak,2,3
169,evening,2,3
170A,early_morning,1,2
170A,AM_peak,3,5
170A,midday,1,2
170A,PM_peak,3,5
170A,evening,1,2
170B,early_morning,2,3
170B,AM_peak,3,5
170B,midday,2,3
170B,PM_peak,3,5
170B,evening,2,3
170,early_morning,2,3
170,AM_peak,3,4
170,midday,2,3
170,PM_peak,3,4
170,evening,2,3
174A,early_morning,1,3
174A,AM_peak,3,8
